selection_rank,cell_key,arm,work_item_id,setfile_sha256,cold_elapsed_seconds,warm_elapsed_seconds,cold_identity_sha256,warm_identity_sha256,cold_report_metrics_sha256,warm_report_metrics_sha256,cold_trade_list_sha256,warm_trade_list_sha256,cold_native_report_sha256,warm_native_report_sha256,cold_logger_sample_sha256,warm_logger_sample_sha256,cold_receipt_schema_sha256,warm_receipt_schema_sha256,cold_entry_trading_days,warm_entry_trading_days,identity_exact,metrics_exact,trades_exact,native_report_exact,logger_sample_exact,receipt_schema_exact,entry_days_exact,all_exact,warm_status
1,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:baseline,baseline,356a3655-5f0a-51ea-84f3-a3d04e2ed714,efb30cbb4d99938c44a4d62012e7ae136712fffbea3dcda7abf5890d9c2350e9,238.565,,7b26e67f5dbd9f5eb0ae39f326e68c3da7e87233d887ea2504c3944571ed1b73,,ed0d8a78c41b92974e877ea4b98f0623edfbf0ddaa9e1d3b6d20324670c1bd48,,b1ef198b0b16a1abccf45e9071c0089b5f1211597197b653294d2395f9634ea4,,2a6cc66d37c41d398cdecf726632aeabf8f7fe547d148c47956de9db5c9899bf,,20011036f5c2ed0732845939f9188b52f759642bc16375a2c2767010334da16b,,e95e4720df87bf4d3624ac44c0943bb5b5c627820f63faf83b64008d80e3f22f,,193,,,,,,,,,,NOT_RUN_AFTER_STOP
2,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_003,buy_003,ccc0055d-046a-5b80-9f3f-7d1ed7392e38,245138245344231b1159baa069646fef7a14d3911f80df666c046b700f7ce1ad,516.103,,a360fc112a86832b3c439a8a2c3971775fcae85eed6a5989d72bad42efea1379,,c939eac37d0c409bcc2d05396c58f4ba7a54541db5786a0c6014f5f58b6ad9d8,,69befe7a507a3943d2a75924248a4530cec5076f3e2a4253e9ca93637af17080,,144e32b94d8210f0fea91d05a83897843e10204f34396526d353705720a81ff1,,e8452640fad88286d15267bca3f8ec4a6e80e6b16f0b1a0c8f0d90781bf09de9,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,183,,,,,,,,,,NOT_RUN_AFTER_STOP
3,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_004,buy_004,ea962544-3f33-536b-a20e-081e4a7bc5eb,0793b52f66f941cdfd65512f2ee723f503d3c535ee4b9278cb2e204fd13a4783,272.551,,68e3c2cc8e4b08f5744c168d408addff7312b3a72c52faed033207b2f42ec4d4,,ed0d8a78c41b92974e877ea4b98f0623edfbf0ddaa9e1d3b6d20324670c1bd48,,b1ef198b0b16a1abccf45e9071c0089b5f1211597197b653294d2395f9634ea4,,266dfbf06404db1a6da2fec2aefae10752283e986d064427986ee7127066b5ff,,2c7ca47b6ba9fb5cfcaad41e88c4ee42497226f0b1419a0404f16986dd1dcfa6,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,193,,,,,,,,,,NOT_RUN_AFTER_STOP
4,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_005,buy_005,86ba5c0c-7d44-5461-8b69-c4ca4e68bf0f,3c87e821bf80b69622d42c93f0eb88b0c6a674f428e961c0cefd87f77e4cf39d,403.304,,88ad48aed74c4213d736fc438bdd7e75e6f2a2df8ce0df2eab62c94fa8fd8659,,ed0d8a78c41b92974e877ea4b98f0623edfbf0ddaa9e1d3b6d20324670c1bd48,,b1ef198b0b16a1abccf45e9071c0089b5f1211597197b653294d2395f9634ea4,,484d131f9969700a65c6346f33e243f3b5e6468122594209bc9ed4dbca8c418b,,44f022a7abff1a22223274e7afaab75c31ec3b7ed1655ce1f26820861a07ed2d,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,193,,,,,,,,,,NOT_RUN_AFTER_STOP
5,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_006,buy_006,76963c69-9b55-5924-8e92-385705cbb582,5950dbb9e0dd87c3c731b61013a56111f4cebf7d88d8caf155473a34f5645561,379.362,,bbb71c115eebd7f640ea2f8e99a637faf5bb065bc79643dd156b551c37b47f78,,c5d05a555f5affede5905015bda167a8e2faf7cf7adc09143e0b4aa9e903103d,,db78ccde49fb8caac3ebd6d1188c1984809c2d8e26febbedff1d04c2d7dcc8b8,,d4614715a2e497203703b173b4f18bf82a657f32724d4fe2092a3e719aae9983,,a746e0879cde1fe6af62ac8dae10508aa0a635d7f157505d5d720c2033fd809b,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,190,,,,,,,,,,NOT_RUN_AFTER_STOP
6,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_008,buy_008,05fb3d10-950c-51c0-9b18-eaa31acb1e1f,5dc40032c44482b37b35ae49ca531e71f177b350be5a2309f85320687e48987e,279.532,,83efc3ea41612c55f0133893122607ab9431c9ee261a67836ad9f1003ce4e922,,950d222ef2fa8a90a44b689fff73730e25519fae78679e0b3d30b68043d195b9,,435c5436f6c3d24046c3ac1e6830f9f7e9e942e28f6eda11001613235d2588e6,,23bf334275eb5a1d1ad187bb2b7bc7cb1bc987683a86db8833e0f7dc0cb3f15d,,709a966e9070b0c1cd4912ef63e874f18281dd4294a0ce8a6b68dcbd062300ea,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,192,,,,,,,,,,NOT_RUN_AFTER_STOP
7,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_009,buy_009,7b192d77-6305-569a-a034-ff13f54d18a3,9012025e2b8db81c6ddac702925c2d6d055fb4dbb4e2b9414829c67b402b72f5,291.041,,ad4daf2d73e08b636a91cb4c8e59cff7b9c752ccad54d66c6adc97c225ecbcd5,,ed0d8a78c41b92974e877ea4b98f0623edfbf0ddaa9e1d3b6d20324670c1bd48,,b1ef198b0b16a1abccf45e9071c0089b5f1211597197b653294d2395f9634ea4,,3c0b64a6487e30a46281074c893775ce311b5b70cd8bc1785e7d3c1996508e8f,,397ba9317730855db06d467187df7eabffecb77c1bf6669643cfad2622999f79,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,193,,,,,,,,,,NOT_RUN_AFTER_STOP
8,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_011,buy_011,3c7642dc-8046-56d0-b923-3d78adb6bf87,952840be62875652a73128e3661cdc580f9cef44fb099d43be8aa2009bc18206,264.479,,3fb8fa850e6f79085ad1e77afb6a44c22b4de32e9225dfe536e4149a6ef261b0,,a38adb929b3335128837a2b99ecb0cee80abeac236556b2bc6f0082f5b3da7a2,,151800be34e02c3d55c2039f3a283ce2b62db9c66cb8806c25c30142334d36d8,,0325de65f4ce10a29434b71a255bd541720eb16d48dd8614f027be1fdfc2a8c2,,2bd25e1ef44299bc7fcbbe305c2deced35fc0fc7773a1f0c45f3c148de2f45ad,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,192,,,,,,,,,,NOT_RUN_AFTER_STOP
9,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_012,buy_012,e2ddff40-e36a-5e8c-8f14-887fa974e268,4055e3ea3299523f64eedab31c049a70b5d88ec0004b972dcf2ab619e923f324,379.08,,e4da53121fb55c1f897fede6ced7fd37e9052c98cfeb3131c8f870f1bdd5df37,,44720c613e29b790de66cad5b9940c66a310a4fd6259f8f22d49e97b7a1638be,,df8d8086ab7b35b0c089ab9d7b59e58d60ec75de07f4d7334e4afe3602a0f554,,75fa9f33fcf7b8a47e0cbbc826d0407650d2a50c938d0b6ce5f441cc89bb0fbf,,8cee697a3363d61a82b9c6e94f47c3e21d3eb759f9b8881d5c1efba77cd47ece,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,181,,,,,,,,,,NOT_RUN_AFTER_STOP
10,DL089_QM5_41097_USDJPY_DWX_2019_2025:2019:buy_013,buy_013,590b1266-f6c5-5bda-9883-81f6cbd222d5,041953ae417a55262984dbda23b08e73517b8a70cdae504e365cc3ee8670c411,422.656,,0bfbcd2d7d81e5088ea510b658b858ee58fc2468d02a9a572945df1552ef4852,,c2c0b4c63fb664659ae226b6b6ea60bc18e69a35bb5b84f51158547989286063,,166708674db87ac87efca8085cee4dade876257c3f41f91bd6e5251c68bb08f4,,e824cd2f256569e63ad337b2b98b5076cbad40e981f4aaa0759916dba33ab58f,,dcbfee5551714fb8a51ab673582510153e66346186e30f4f3b3c2c639eb4e237,,f4a134e8f87c3e1588f0441d276ce098c4341fd167a76204020c61e5c97561f2,,185,,,,,,,,,,NOT_RUN_AFTER_STOP
